Name_EN,Record_Count
"1,1,1,3,3,3-Hexafluoro-2-propanol",2
"1,1,2,2-Tetrabromoethane",3
"1,1,2,2-Tetrachloro-1,2-difluoro-ethane",1
"1,2,2-Trichloro-1,1-difluoroethane",3
"1,2,3,4-Tetrachloro-5,6-dimethyl-benzene",1
"1,2,3,4-Tetrahydro-2-naphthol",2
"1,2,3,4-Tetrahydronaphthalene",7
"1,2,3,5-Tetrachloro-4,6-dimethyl-benzene",1
"1,2-Dibromotetrafluoroethane",1
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",5
"1,2-Ethanediol, dihexadecanoate",1
"1,3-Bis(trifluoromethyl)benzene",1
"1-Chloro-4-methyl-2-nitro benzene",1
"1-Naphthyl 2-hydroxybenzoate",4
"1-Propenyl benzene (unspecified isomer)",1
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",1
"2,2,3,3,4,4,5,5-Octafluoro-1-pentanol",1
"2,5-Xylenol",5
"2,6,10,15,19,23-Hexa methyl-tetracosane",2
"2,6-Xylenol",8
"3,4-Xylenol",4
"3,5-Xylenol",8
"3-Chloro-1,1,1-trifluoropropane",3
"3-Chloro-1,2-propanediol dinitrate",1
"3-Phenyl-1-propanethiol",4
"4-Methoxy benzenesulfonyl chloride",1
"4-Vinylpyridine",1
"Butyl thiophene-2-carboxylate",1
"Dibromodichloromethane",3
"Dibromodifluoromethane",8
"Dibromomethane",3
"Dicyclohexyl hexanedioate",1
"Diethyl hexanedioate",4
"Diisobutyl hexanedioate",1
"Dimethyl 1,6-hexanedioate",4
"Ethyl 2-butenoate",1
"Ethyl cis-9-octadecenoate",6
"Glycerol 1,3-diacetate",2
"Glycerol triacetate",2
"Glycerol trihexanoate",1
"Glycerol trioctanoate",1
"Hydrazine",2
"Menthol",3
"Methyl cis,cis-9,12-Octadecadienoate",1
"Methyl cis-9-octadecenoate",1
"Methyl hexanedioate",5
"N,N'-Bis(2-aminoethyl)-1,2-ethanediamine",1
"Nitrogen tetroxide",4
"Nitrogen trioxide",5
"Nitrosyl bromide",1
"Nitrosyl chloride",1
"Sulfur dichloride",1
"Sulfur hexafluoride",1
"Sulfur trioxide (α-form)",1
"Sulfuryl chloride",1
"Tetrachloromethane",6
"Thionyl bromide",1
"Thionyl chloride",1
"Tribromoacetaldehyde",1
"Tribromochloromethane",1
"Tribromofluoromethane",7
"Tribromomethane",4
"Tribromonitromethane",3
"Trifluoroacetic anhydride",1
"Vinylpyridine",1
"Xylitol",1
"cis,cis,cis-9,12,15-Octadecatrienoic acid",6
"cis,cis-9,12-Octadecadienoic acid",6
"cis-1,2-Dibromoethene",1
"cis-9-Octadecenoic acid",6
"m-Dibromobenzene",4
"o-Dibromobenzene",4
"p-Dibromobenzene",1
"trans-1,2-Dibromoethene",1
"trans-α-Ionone, (±)-",1
"trans-β-Ionone",1
"α,α-Dimethyl benzenemethanol",5
"α-Pinene",1
"α-Terpinene",1
"β-Pinene",1
"γ-Terpinene",1
